country_ghi,ghi_2000,ghi_2008,ghi_2016,ghi_2025,ghi_abs_change,ghi_pct_change,iso3
Afghanistan,49.6,32.7,28.0,29.0,1,3.4,AFG
Albania,15.3,15.3,6.7,7.0,0.2999999999999998,4.3,ALB
Algeria,14.1,10.8,8.0,7.1,-0.9000000000000004,-12.7,DZA
Angola,63.8,35.3,25.7,29.7,4,13.5,AGO
Argentina,6.5,5.2,5.3,6.4,1.1000000000000005,17.2,ARG
Armenia,20.3,10.8,6.7,,—,—,ARM
Azerbaijan,25.2,14.1,8.1,5.6,-2.5,-44.6,AZE
Bahrain,,,,,—,—,BHR
Bangladesh,34.6,32.5,24.4,19.2,-5.199999999999999,-27.1,BGD
Belarus,,,,,—,—,BLR
Benin,32.2,25.5,23.8,25.9,2.099999999999998,8.1,BEN
Bhutan,,,,,—,—,BTN
Bolivia (Plurinat. State of),27.0,20.9,14.0,14.6,0.5999999999999996,4.1,BOL
Bosnia & Herzegovina,9.5,6.1,5.0,,—,—,BIH
Botswana,29.9,27.2,22.5,21.8,-0.6999999999999993,-3.2,BWA
Brazil,11.6,6.3,5.4,6.4,1,15.6,BRA
Bulgaria,8.6,8.1,7.3,,—,—,BGR
Burkina Faso,44.5,34.4,25.4,22.9,-2.5,-10.9,BFA
Burundi,,,,,—,—,BDI
Cabo Verde,16.2,13.1,11.5,9.4,-2.0999999999999996,-22.3,CPV
Cambodia,39.8,24.7,17.7,14.9,-2.799999999999999,-18.8,KHM
Cameroon,36.8,26.9,20.4,17.1,-3.299999999999997,-19.3,CMR
Central African Republic,46.8,41.9,36.0,33.4,-2.6000000000000014,-7.8,CAF
Chad,49.6,43.8,38.5,34.8,-3.700000000000003,-10.6,TCD
Chile,,,,,—,—,CHL
China,13.8,7.3,,,—,—,CHN
Colombia,10.7,10.3,7.1,6.1,-1,-16.4,COL
Comoros,35.7,25.7,20.5,17.2,-3.3000000000000007,-19.2,COM
Congo (Republic of),35.1,32.2,26.6,22.6,-4,-17.7,COG
Costa Rica,5.9,,,,—,—,CRI
Côte d'Ivoire,32.8,33.2,22.3,20.4,-1.9000000000000021,-9.3,CIV
Croatia,7.1,,,,—,—,HRV
Dem. Rep. of the Congo,46.1,39.5,36.4,37.5,1.1000000000000014,2.9,COD
Djibouti,44.8,32.8,24.6,21.9,-2.700000000000003,-12.3,DJI
Dominican Republic,15.2,12.8,8.6,6.4,-2.1999999999999993,-34.4,DOM
Ecuador,19.1,14.6,11.3,10.9,-0.40000000000000036,-3.7,ECU
Egypt,16.4,15.5,14.5,10.5,-4,-38.1,EGY
El Salvador,13.6,11.6,8.9,7.6,-1.3000000000000007,-17.1,SLV
Equatorial Guinea,,,,,—,—,GNQ
Eritrea,,,,,—,—,ERI
Estonia,,,,,—,—,EST
Eswatini,23.9,25.8,18.9,15.9,-2.9999999999999982,-18.9,SWZ
Ethiopia,53.0,37.5,26.1,24.4,-1.7000000000000028,-7,ETH
Fiji,9.2,10.2,10.6,9.9,-0.6999999999999993,-7.1,FJI
Gabon,19.8,18.4,16.1,18.8,2.6999999999999993,14.4,GAB
Gambia,29.5,23.3,18.8,17.3,-1.5,-8.7,GMB
Georgia,11.8,8.0,5.7,,—,—,GEO
Ghana,29.0,21.5,16.5,13.1,-3.4000000000000004,-26,GHA
Guatemala,29.0,23.8,20.8,18.0,-2.8000000000000007,-15.6,GTM
Guinea,36.8,31.9,28.4,23.7,-4.699999999999999,-19.8,GIN
Guinea-Bissau,37.6,30.4,26.6,25.4,-1.2000000000000028,-4.7,GNB
Guyana,17.0,15.3,10.7,8.3,-2.3999999999999986,-28.9,GUY
Haiti,40.2,37.2,29.9,35.7,5.800000000000004,16.2,HTI
Honduras,21.7,15.9,13.1,12.5,-0.5999999999999996,-4.8,HND
Hungary,,,,,—,—,HUN
India,38.1,34.6,29.3,25.8,-3.5,-13.6,IND
Indonesia,25.0,27.8,18.2,14.6,-3.5999999999999996,-24.7,IDN
Iran (Islamic Republic of),12.4,9.5,8.3,7.4,-0.9000000000000004,-12.2,IRN
Iraq,22.9,19.2,14.7,12.8,-1.8999999999999986,-14.8,IRQ
Jamaica,8.3,8.3,8.3,8.0,-0.3000000000000007,-3.8,JAM
Jordan,10.2,7.6,7.7,10.3,2.6000000000000005,25.2,JOR
Kazakhstan,12.0,10.2,5.7,,—,—,KAZ
Kenya,35.7,28.7,23.1,25.9,2.799999999999997,10.8,KEN
Korea (DPR),43.8,30.8,27.6,,—,—,PRK
Kuwait,,,,,—,—,KWT
Kyrgyzstan,18.4,12.2,8.9,8.0,-0.9000000000000004,-11.3,KGZ
Lao PDR,,,,,—,—,LAO
Latvia,5.3,,,,—,—,LVA
Lebanon,11.1,8.3,7.1,8.5,1.4000000000000004,16.5,LBN
Lesotho,,,,,—,—,LSO
Liberia,47.7,36.8,32.9,30.0,-2.8999999999999986,-9.7,LBR
Libya,11.9,14.8,16.3,13.9,-2.4000000000000004,-17.3,LBY
