Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1991,1991,7021,Annual value,LCU,4838.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1992,1992,7021,Annual value,LCU,4952.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1993,1993,7021,Annual value,LCU,5157.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1994,1994,7021,Annual value,LCU,6470.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1995,1995,7021,Annual value,LCU,5670.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1996,1996,7021,Annual value,LCU,7960.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1997,1997,7021,Annual value,LCU,6640.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1998,1998,7021,Annual value,LCU,6290.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1999,1999,7021,Annual value,LCU,5170.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2000,2000,7021,Annual value,LCU,4540.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2001,2001,7021,Annual value,LCU,4330.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2002,2002,7021,Annual value,LCU,4410.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2003,2003,7021,Annual value,LCU,5550.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2004,2004,7021,Annual value,LCU,6140.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2005,2005,7021,Annual value,LCU,6520.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2006,2006,7021,Annual value,LCU,8410.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2007,2007,7021,Annual value,LCU,7160.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2009,2009,7021,Annual value,LCU,4940.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2011,2011,7021,Annual value,LCU,4959.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2012,2012,7021,Annual value,LCU,4180.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2013,2013,7021,Annual value,LCU,5548.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2014,2014,7021,Annual value,LCU,6181.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2015,2015,7021,Annual value,LCU,8134.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2016,2016,7021,Annual value,LCU,9609.0,A,Official figure,AUS,False,False
