Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1991","1991","7021","Annual value","LCU","4838","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1992","1992","7021","Annual value","LCU","4952","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1993","1993","7021","Annual value","LCU","5157","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1994","1994","7021","Annual value","LCU","6470","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1995","1995","7021","Annual value","LCU","5670","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1996","1996","7021","Annual value","LCU","7960","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1997","1997","7021","Annual value","LCU","6640","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1998","1998","7021","Annual value","LCU","6290","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","1999","1999","7021","Annual value","LCU","5170","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2000","2000","7021","Annual value","LCU","4540","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2001","2001","7021","Annual value","LCU","4330","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2002","2002","7021","Annual value","LCU","4410","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2003","2003","7021","Annual value","LCU","5550","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2004","2004","7021","Annual value","LCU","6140","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2005","2005","7021","Annual value","LCU","6520","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2006","2006","7021","Annual value","LCU","8410","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2007","2007","7021","Annual value","LCU","7160","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2009","2009","7021","Annual value","LCU","4940","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2011","2011","7021","Annual value","LCU","4959","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2012","2012","7021","Annual value","LCU","4180","A","Official figure"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01371","Almonds, in shell","2013","2013","7021","Annual value","LCU","5548","A","Official figure"
